"","CountryName","primReformExp","Number of children","% wasted","% exposed to drought"
"1","Benin",0,4824,18.1,11.5
"2","Burundi",0,2259,6.9,12.2
"3","Cameroon",0,3551,7.5,22.8
"4","Cameroon",1,1069,6.1,32.4
"5","Lesotho",0,1336,7.2,26.6
"6","Malawi",0,6243,8.9,10.6
"7","Malawi",1,2329,5.8,14.8
"8","Namibia",0,2006,10.1,23.8
"9","Nigeria",0,9099,18.2,22
"10","Nigeria",1,4224,16.3,16.2
"11","Rwanda",0,2931,4.5,23.7
"12","Rwanda",1,547,1.8,2.9
"13","Sierra Leone",0,2985,10,13.1
"14","Tanzania",0,3910,7.6,9.7
"15","Tanzania",1,2192,5.1,20.3
"16","Togo",0,3019,12.9,31.4
"17","Zimbabwe",0,4836,7.4,23.2
