"","CountryName","primReformExp","Number of children","wasted","drought"
"1","Benin",0,9880,15,12.6
"2","Burundi",0,4869,5,11.5
"3","Cameroon",0,7523,5.2,23.1
"4","Cameroon",1,1973,4.7,31.4
"5","Lesotho",0,2700,5.1,26.1
"6","Malawi",0,13257,6.2,10.6
"7","Malawi",1,4696,4.3,16.2
"8","Namibia",0,3677,8.9,25
"9","Nigeria",0,20392,13.9,22.7
"10","Nigeria",1,7851,13,15.3
"11","Rwanda",0,6486,2.9,22.2
"12","Rwanda",1,944,1.6,2.5
"13","Sierra Leone",0,6210,8.7,12.7
"14","Tanzania",0,8561,5.6,9.9
"15","Tanzania",1,3872,4,21.7
"16","Togo",0,4810,10.3,27.5
"17","Zimbabwe",0,9887,5.4,24.1
