"","Country","Primary reform exposure","Number of children","% wasted","% exposed to drought"
"1","Benin",0,4824,18.1,5.1
"2","Burundi",0,2259,6.9,10.5
"3","Cameroon",0,3551,7.5,21.3
"4","Cameroon",1,1069,6.1,14.6
"5","Lesotho",0,1336,7.2,21.3
"6","Malawi",0,6243,8.9,1.3
"7","Malawi",1,2329,5.8,16.5
"8","Namibia",0,2006,10.1,25.6
"9","Nigeria",0,9099,18.2,25.1
"10","Nigeria",1,4224,16.3,13.1
"11","Rwanda",0,2931,4.5,21.3
"12","Rwanda",1,547,1.8,1.1
"13","Sierra Leone",0,2985,10,11.7
"14","Tanzania",0,3910,7.6,7.4
"15","Tanzania",1,2192,5.1,19.3
"16","Togo",0,3019,12.9,32.6
"17","Zimbabwe",0,4836,7.4,17.7
